dept_no,from_date,to_date,emp_no
d001,1/1/85,10/1/91,110022
d001,10/1/91,1/1/99,110039
d002,1/1/85,12/17/89,110085
d002,12/17/89,1/1/99,110114
d003,1/1/85,3/21/92,110183
d003,3/21/92,1/1/99,110228
d004,1/1/85,9/9/88,110303
d004,9/9/88,8/2/92,110344
d004,8/2/92,8/30/96,110386
d004,8/30/96,1/1/99,110420
d005,1/1/85,4/25/92,110511
d005,4/25/92,1/1/99,110567
d006,1/1/85,5/6/89,110725
d006,5/6/89,9/12/91,110765
d006,9/12/91,6/28/94,110800
d006,6/28/94,1/1/99,110854
d007,1/1/85,3/7/91,111035
d007,3/7/91,1/1/99,111133
d008,1/1/85,4/8/91,111400
d008,4/8/91,1/1/99,111534
d009,1/1/85,10/17/88,111692
d009,10/17/88,9/8/92,111784
d009,9/8/92,1/3/96,111877
d009,1/3/96,1/1/99,111939